Bedrooms,Bathrooms,Balconies,Pujaz_Rooms,Super_area,Carpet_area,Floor_Number,Total_Floors,Furnished_status,Facing,Address,Price
2,2,0,0,1282,1282,12,19,Unfurnished,West,Appa junction,63
2,2,0,0,1392,1392,10,19,Unfurnished,West,Appa junction,70.2
2,2,0,0,1396,1396,12,19,Unfurnished,East,Appa junction,67.9
2,2,0,0,1507,1507,12,19,Unfurnished,West,Appa junction,72.8
2,2,0,0,1562,1562,12,19,Unfurnished,West,Appa junction,75.2
2,2,0,1,1430,1073,8,18,Unfurnished,West,Appa junction,68.6
2,2,2,1,1487,1100,5,12,Semi-Furnished,East,Appa junction,70
2,3,0,0,1450,900,19,20,Unfurnished,East,Appa junction,80
3,3,0,0,1568,1176,8,18,Unfurnished,East,Appa junction,75.3
3,3,2,1,1628,1628,12,14,Unfurnished,West,Appa junction,79.8
3,3,0,0,1638,1638,12,19,Unfurnished,West,Appa junction,78.5
3,3,0,0,1663,1663,12,19,Unfurnished,East,Appa junction,79.6
2,2,0,0,1105,1000,3,6,Semi-Furnished,South,Ashok Nagar,48
2,2,0,0,1045,1045,1,4,Furnished,East,Ashok Nagar-Ramachandra Puram,35
2,2,2,1,1250,1000,1,5,Unfurnished,East,asian cine planet,50
2,2,0,0,1000,1000,2,5,Semi-Furnished,East,Asif Nagar,35
2,2,0,0,1050,1050,5,5,Unfurnished,East,Attapur,42
2,2,0,0,700,650,5,5,Semi-Furnished,West,Attapur,28
2,2,0,1,809,809,4,5,Unfurnished,South -West,Attapur,50
2,2,2,1,1100,700,4,5,Semi-Furnished,West,Attapur,40
2,2,2,1,1350,1350,3,4,Unfurnished,East,Attapur,55
3,3,2,0,1157,1157,4,5,Unfurnished,North - East,Attapur,46.3
3,2,0,0,1200,1100,4,6,Unfurnished,East,Attapur,60
3,3,2,0,1224,1050,3,5,Unfurnished,East,Attapur,42
3,2,0,1,1230,1230,7,10,Unfurnished,East,Attapur,62.7
3,3,2,0,1335,1335,4,5,Unfurnished,West,Attapur,56.7
3,4,2,0,1440,1440,3,5,Unfurnished,West,Attapur,63
3,3,2,1,1440,1440,1,5,Semi-Furnished,East,Attapur,70
