Bedrooms,Bathrooms,Balconies,Pujaz_Rooms,Super_area,Carpet_area,Furnished_status,Facing,Address,Price
2,2,0,1,850,300,Unfurnished,None,BalajiHomes,20
2,1,0,0,850,850,Unfurnished,West,Adibatla,47
2,2,0,0,747,747,Semi-Furnished,North - East,Chandrayanagutta,60
2,2,0,1,800,750,Semi-Furnished,East,Thimmapuram,45
2,2,0,1,800,800,Semi-Furnished,East,Ghatkesar,50
2,2,0,0,800,750,Semi-Furnished,East,GayatriNagar,55
2,3,0,0,800,700,Unfurnished,East,BahadurpuraWest,25
2,2,0,1,800,750,Semi-Furnished,West,Adibatla,60
2,1,0,0,720,675,Unfurnished,East,ChilkaNagar,28
2,1,0,0,675,675,Unfurnished,None,GolcondaFort,28
2,1,0,0,720,650,Unfurnished,South,NTRNagar-LBNagar,50
2,2,2,1,630,630,Semi-Furnished,West,Ramnagar,70
2,1,0,0,630,585,Unfurnished,South,LBNagar,44
2,1,0,0,650,550,Unfurnished,East,ToliChowki,26
2,2,0,0,650,650,Semi-Furnished,None,JagathgiriGutta,31
2,1,0,0,585,585,Unfurnished,South,Somajiguda,41
2,1,0,0,585,585,Unfurnished,None,Somajiguda,41
2,2,0,0,590,590,Semi-Furnished,None,Saroornagar,23
2,2,0,0,522,450,Unfurnished,None,Seetaphalmandi,45
2,1,0,0,540,540,Semi-Furnished,None,chandrayangutta,22
2,2,0,1,500,500,Unfurnished,East,JanaChaitnyaColony,39.5
2,2,0,0,450,432,Semi-Furnished,East,Nagole,50
2,1,0,0,450,450,Unfurnished,None,AddaGutta,22
2,2,0,0,400,400,Unfurnished,East,BaghAmberpet,47
2,1,0,0,300,300,Unfurnished,None,AliabadNorth,65
2,1,0,0,220,150,Unfurnished,None,Rudraram,48.4
2,2,0,0,200,200,Unfurnished,None,Moinabad,45
2,3,0,1,200,200,Unfurnished,West,Isnapur,51
2,3,2,1,200,1400,Unfurnished,East,Adibatla,38
2,2,2,1,1800,1800,Unfurnished,East,Shamirpet,57
2,3,2,1,1800,1400,Semi-Furnished,East,Adibatla,38
2,3,2,1,1800,1400,Semi-Furnished,East,Adibatla,35
2,3,2,1,1800,1400,Semi-Furnished,East,Adibatla,35
2,3,2,1,1800,1400,Semi-Furnished,East,Adibatla,38
2,3,2,1,1800,1400,Semi-Furnished,East,Adibatla,35
2,2,0,1,1611,150,Unfurnished,East,Cherlapalli,70
2,2,0,1,1503,150,Unfurnished,East,TarapuriColony,70
2,2,0,0,1485,1485,Unfurnished,None,Rampally,62.5
2,2,0,1,1449,1100,Unfurnished,West,Dammaiguda,63
2,3,0,0,1431,140,Unfurnished,West,Satyanarayanacolony,70
2,2,0,0,1580,1280,Unfurnished,None,Hydershakote,60
2,2,0,0,1413,1413,Furnished,East,Yapral,70
2,2,0,1,1413,1413,Unfurnished,West,Ghatkesar,60
2,2,0,1,1413,127,Furnished,West,Ghatkesar,60
2,2,0,1,1395,1395,Unfurnished,East,Dammaiguda,58
2,2,0,0,1500,1500,Unfurnished,None,Rampally,60
2,3,0,1,1500,1500,Unfurnished,East,Nagaram-Secunderabad,58
2,2,0,1,1500,1550,Unfurnished,South - East,VIKASNAGAR,68
2,2,0,1,1500,1400,Unfurnished,East,vikasnagar,68
2,2,0,0,1350,1350,Semi-Furnished,None,VijayawadaHighway,55
2,3,0,0,1350,1350,Unfurnished,East,Beeramguda,65
2,3,0,0,1350,1210,Unfurnished,None,Beeramguda,65
2,3,0,1,1350,140,Furnished,East,Vanasthalipuram,66
2,2,0,0,1350,1350,Unfurnished,None,GreenMeadowsColony,66
2,2,0,0,1350,1350,Unfurnished,None,Manneguda,65
2,3,0,1,1350,140,Unfurnished,West,Mallapur-Balapur,55
2,3,0,1,1350,150,Unfurnished,West,Injapur,68
2,2,0,1,1350,1350,Unfurnished,None,Beeramguda,60
2,2,2,0,150,150,Semi-Furnished,West,Beeramguda,63
2,2,2,0,150,150,Semi-Furnished,East,Beeramguda,66
2,3,0,1,1350,1350,Unfurnished,East,Beeramguda,66
2,3,0,1,1350,1350,Unfurnished,East,Beeramguda,65
2,2,0,1,1350,150,Unfurnished,North - East,Beeramguda,64.5
2,3,0,1,1350,130,Unfurnished,East,Beeramguda,68
2,2,0,1,1350,150,Unfurnished,West,Beeramguda,61
2,2,0,0,1470,1200,Unfurnished,None,Hydershakote,55
2,4,0,1,1314,146,Semi-Furnished,North,GurramGuda,63
2,2,0,1,1450,1350,Unfurnished,West,Rampally,57
2,2,0,0,1305,1305,Unfurnished,None,GaghanPahad,42
2,2,0,1,1296,130,Unfurnished,West,Vanasthalipuram,66
2,2,0,0,1278,132,Unfurnished,None,LeninNagar-Meerpet,65
2,3,0,1,1400,950,Unfurnished,East,Peerzadiguda,64
2,3,0,1,1400,1300,Unfurnished,East,Bairagiguda,70
2,2,2,1,1400,1800,Unfurnished,East,Adibatla,36
2,2,3,0,1260,1260,Unfurnished,None,ismailkhanpeta,55
2,2,2,0,1260,140,Unfurnished,North,RamnagarGundu,70
2,2,0,1,1260,140,Semi-Furnished,East,Peerzadiguda,70
2,3,0,1,1260,1260,Unfurnished,West,GurramGuda,53
2,2,2,1,1260,1260,Unfurnished,North,Boduppal,70
2,2,2,0,1260,1260,Unfurnished,None,Aminpur,49.5
2,2,0,1,1375,1375,Semi-Furnished,West,Dammaiguda,65
2,3,0,1,1224,136,Semi-Furnished,None,GurramGuda,55
2,3,0,1,1224,900,Unfurnished,East,Cherlapalli,56
2,2,2,1,1350,1250,Unfurnished,East,SriKrishnaNagarColony,65
2,3,0,1,1350,1100,Unfurnished,North - West,Sangareddy,52
2,2,2,1,1350,1300,Unfurnished,East,RTCColony-Peerzadiguda,64
2,2,0,1,1350,1050,Unfurnished,East,Rampally,55
2,2,0,1,1350,1200,Unfurnished,East,Rampally,65
2,2,0,0,1350,1350,Unfurnished,None,MedchalRoad,40
2,3,0,0,1350,1250,Unfurnished,North - West,KrishnaReddyPet,68
2,2,0,0,1350,1350,Unfurnished,None,Srujanalakshminagarphase2,60
2,2,0,1,1350,1350,Unfurnished,East,Nadergul,52
2,2,0,0,1350,1250,Unfurnished,East,ECIL,52
2,3,2,1,1350,1250,Unfurnished,East,Beeramguda,59
2,3,2,1,1350,1250,Semi-Furnished,East,Beeramguda,54.5
2,3,2,1,1350,1250,Semi-Furnished,East,Beeramguda,58
2,2,0,1,1350,1200,Unfurnished,East,Beeramguda,62
2,3,2,1,1350,1250,Semi-Furnished,West,Beeramguda,54
2,3,2,1,1350,1250,Semi-Furnished,West,Beeramguda,55
2,3,2,1,1350,1250,Semi-Furnished,East,Beeramguda,60
2,3,2,1,1350,1250,Semi-Furnished,East,Beeramguda,57
2,3,2,1,1350,1350,Semi-Furnished,North,Beeramguda,65
2,3,2,1,1350,1350,Semi-Furnished,North - East,Beeramguda,68
2,2,0,1,1350,1250,Unfurnished,East,Beeramguda,62
2,3,0,1,1350,1200,Unfurnished,West,Beeramguda,63
2,2,0,1,1350,1050,Unfurnished,West,Beeramguda,58
2,2,0,0,1350,1350,Semi-Furnished,None,APHBColony-Suraram,67
2,3,0,1,1350,1200,Unfurnished,West,Almasguda,68
2,2,0,1,1350,900,Semi-Furnished,East,Almasguda,58
2,2,0,1,1350,900,Unfurnished,East,Almasguda,58
2,3,0,0,1215,1215,Unfurnished,None,Hayathnagar,65
2,3,0,1,1206,134,Furnished,East,GurramGuda,55
2,2,0,1,1337,1337,Unfurnished,North,Nagaram,68
2,2,0,0,1197,130,Unfurnished,None,Suraram,62
2,2,0,0,1197,120,Unfurnished,West,Rampally,48
2,3,3,0,133,133,Unfurnished,None,Kistareddypet,62
2,1,0,0,1197,710,Unfurnished,None,Isnapur,42
2,2,0,1,1197,133,Unfurnished,East,Almasguda,65
