Project_Name,Plot_Area,Transaction_Type,Address,Price
Aero Space County,151,Resale,Turkayamjal,34
Aero Space County,200,Resale,Ramoji Film City Main Road,42
Aero Space County,150,New Property,Nagole,20.3
Aero Space County,200,New Property,Sangareddy,40
Aero Space County,200,New Property,Ibrahimpatnam Road,22
Perams Aditya Akshita,238,New Property,Kondakal,46.4
Perams Aditya Akshita,150,New Property,Sangareddy District,22.5
Perams Aditya Akshita,167,Resale,Kushaiguda,61
Perams Aditya Akshita,200,New Property,Balapur,36
Perams Aditya Akshita,200,Resale,Sangareddy,23
Perams Aditya Akshita,200,New Property,Shankarpalli-Rangareddi,22
Perams Aditya Akshita,167,Resale,Boduppal,70
Perams Aditya Akshita,200,Resale,Adibatla,26
Perams Aditya Akshita,256,Resale,NFC Employees Colony,41
Perams Aditya Akshita,330,Resale,Kardhanur,45
Perams Aditya Akshita,300,Resale,Yamnampet,45
Perams Aditya Akshita,145,Resale,Badangpet,46
Perams Aditya Akshita,267,New Property,Hyderabad-Vijaywada highway,30
Perams Aditya Akshita,267,Resale,Rampally,66.8
Perams Aditya Akshita,342,Resale,Chevella Road,27
Perams Aditya Akshita,208,Resale,Hayathnagar,33.3
Perams Aditya Akshita,311,Resale,Cherlapalli,70
Perams Aditya Akshita,212,New Property,Bhanoor,44.5
Perams Aditya Akshita,400,Resale,Pulimamidi road,40
Perams Aditya Akshita,177,Resale,Rampally,37
Perams Aditya Akshita,200,New Property,Rudraram,32
Adi Keshava Nagar,270,Resale,Ghatkesar,21
Adi Keshava Nagar,200,New Property,Kollur,45
Adi Keshava Nagar,300,Resale,Adibatla,31
Sukruti Homes,290,New Property,Yapral,60
Sukruti Homes,160,New Property,Mokila,34
Gayathri Enclave,180,New Property,Miyapur,70
Gayathri Enclave,183,New Property,Gagilapur,30
Jayadarsini Township,300,Resale,Medchal,40
Jayadarsini Township,238,Resale,Nandigama Village ,28.6
Akshita Golden Breeze,278,Resale,Maheshwaram,35
Akshita Golden Breeze,132,Resale,Gandipet,49
Akshita Golden Breeze,240,Resale,Adibatla,22.8
Kundhan county,160,New Property,Isnapur,42
Kundhan county,200,Resale,Nadargul,37
Kundhan county,167,New Property,Srisailam Highway,23
Kundhan county,200,New Property,Adibatla,32
Kundhan county,100,Resale,Medchal,26
Kundhan county,267,Resale,Tukkuguda,66.8
Kundhan county,140,Resale,Injapur,40
Kundhan county,165,New Property,Gundlapochampally,53
Kundhan county,400,Resale,Ibrahimpatnam,40
Kundhan county,240,Resale,Nandigama,38.4
Evergreen City,200,New Property,Maheshwaram,24
Evergreen City,201,New Property,Adibatla,30.1
Evergreen City,200,New Property,Maheshwaram,34
Evergreen City,300,New Property,Shankarpalli Road,28.5
Serene City,400,New Property,Ibrahimpatnam,44
Serene City,240,New Property,Shamshabad,31.2
Serene City,240,New Property,Maheshwaram,26.4
Serene City,150,New Property,Kothur,21
Future City,300,New Property,Bibi nagar,25.5
Future City,200,New Property,Shankarpalli Road,36
Future City,280,New Property,Mansanpally,23.8
Future City,200,New Property,Isnapur,44
Future City,147,New Property,Ibrahimpatnam,21
Spring City,180,New Property,Sultanpur,36
Srika Premium Park,190,New Property,Adibatla,27.6
Srika Premium Park,200,New Property,Kothur,22
Sita Gardens,240,New Property,Srisailam Highway,33.6
Cristal County VI,400,New Property,Nandigama,43.2
Suchir Le Colossal,400,New Property,Shankarpalli-Rangareddi,50
Suchir Le Colossal,198,New Property,Maheshwaram,32.7
HPR Gardenia,227,New Property,Mansanpally,22.7
