Project_Name,Plot_Area,Transaction_Type,Address,Price
Imperial City,450,Resale,Quthbullapur,34
Imperial City,150,Resale,Patancheruvu,40
Imperial City,184,Resale,Maheshwaram,20.2
Imperial City,200,Resale,Kothur,20
Imperial City,300,Resale,Gundlapochampalli,40.2
Imperial City,250,Resale,Mallapur,66.3
Imperial City,193,Resale,Gowdavalli Rd,40
Imperial City,200,Resale,Maheshwaram,26
Imperial City,267,Resale,Isnapur,60
Imperial City,150,Resale,Shamshabad,30
Imperial City,167,Resale,Shamshabad,38
Imperial City,500,Resale,Sangareddy,55
Imperial City,391,Resale,shad nagar Nandigama,60
Imperial City,165,Resale,Tukkuguda,22.3
Imperial City,273,Resale,Tukkuguda,25
Imperial City,167,New Property,Gandi Maisamma,40.9
Imperial City,167,Resale,Patancheru Mandal,27
Imperial City,200,Resale,Batasingaram Village,20
Imperial City,167,New Property,Dundigal,43.2
Imperial City,140,Resale,Ghatkesar,28
Imperial City,200,Resale,Kondakal,46
Imperial City,180,Resale,Miyapur,70
Imperial City,200,Resale,Bhongir,22
Imperial City,200,Resale,Muthangi,40
Imperial City,180,New Property,Chevella,21.6
Imperial City,300,Resale,Shadnagar,25
Imperial City,200,New Property,Bollaram,60
Imperial City,133,Resale,Old Alwal,48
Imperial City,300,Resale,Ghatkesar,24
Imperial City,267,Resale,Cherlapally IDA,70
Imperial City,250,Resale,Ravalkole,20
Imperial City,200,New Property,Maheshwaram,30
Imperial City,300,New Property,Gandi Maisamma,69
Imperial City,200,New Property,Malkapur,21
Imperial City,200,New Property,Turkayamjal,50
Imperial City,173,Resale,Annojiguda,31
Imperial City,166,New Property,Kompally,39.8
Imperial City,181,Resale,Balapur,29
Imperial City,300,Resale,Indresham,48
Imperial City,200,Resale,Pasumamula,28
Imperial City,200,Resale,Nampally,20
Imperial City,180,Resale,Sadashivpet,40
Imperial City,222,Resale,Gaghan Pahad,60
Imperial City,192,Resale,Bhanoor,35
Imperial City,500,New Property,Shankarpalli Road,32
Imperial City,266,Resale,Patighanpur,53
Imperial City,291,Resale,Nandigama,60
Imperial City,272,Resale,Gaddapotharam,20
Imperial City,170,Resale,Pratap Singaram,32
Imperial City,500,Resale,Chevella,20
Imperial City,100,Resale,Alkapuri,28
Imperial City,188,Resale,Mallapur,31
Imperial City,120,Resale,Aminpur,29
Imperial City,200,Resale,Kotturu,30
Imperial City,200,New Property,Medchal,32
Imperial City,120,Resale,Medchal,30
Silver Pride,333,Resale,Kothur,22.3
Silver Pride,250,Resale,Gaganpahad,42.5
Silver Pride,111,Resale,Aminpur,45
Silver Pride,150,Resale,Suraram,47
Silver Pride,300,Resale,Nadargul,54
Silver Pride,220,Resale,Nagaram,66
Sukrithi Royal,133,Resale,Kompally,66.5
Sukrithi Royal,200,Resale,Shamshabad,32
Sukrithi Royal,180,Resale,Balapur,21.6
Sukrithi Royal,10,Resale,Shamshabad,60
Sukrithi Royal,240,Resale,Bhanoor,43.2
Sukrithi Royal,400,New Property,Ramoji Film City Main Road,32
Sark Aerocity,440,Resale,Adibatla,66
Sark Aerocity,150,Resale,Koheda,30
Sark Aerocity,180,Resale,Ghatkesar,30
Sark Aerocity,240,Resale,Aushapur,21.6
Sark Aerocity,200,Resale,Nandigama,52
Sark Aerocity,200,New Property,Sangareddy,26.5
Sark Aerocity,300,Resale,Kardhanur,30
Sark Aerocity,170,Resale,Adibatla,45
Sark Aerocity,125,Resale,Teachers Colony-Hastinapuram,47
Sark Aerocity,267,Resale,Turkayamjal,52.1
Sark Aerocity,183,Resale,Pocharam,28
Sark Aerocity,200,Resale,Medchal,46
Sark Aerocity,533,Resale,Medchal,42.6
Sark Aerocity,500,New Property,Moinabad,20
Sark Aerocity,330,Resale,Abdullapurmet,23
Sark Aerocity,300,Resale,Aziz Nagar,21
Sark Aerocity,500,Resale,Medchal,70
Sark Aerocity,202,Resale,Pedda Amberpet,32
Sark Aerocity,200,Resale,Ramdas Pally,20
Sark Aerocity,200,Resale,Abdullapurmet,28
Sark Aerocity,354,Resale,Gurram Guda,65
Sark Aerocity,196,Resale,Kardhanur,35.3
Sark Aerocity,605,New Property,Maheshwaram,30.2
Sark Aerocity,400,Resale,Gachibowli,24
Sark Aerocity,200,New Property,Adibatla,32
Sark Aerocity,400,Resale,Nandigama,34
Sark Aerocity,150,New Property,Kapra,48
Adi Keshava Nagar,444,Resale,Ghatkesar,26.6
Adi Keshava Nagar,150,Resale,Boduppal,58
Adi Keshava Nagar,167,New Property,Keesara,22.5
Adi Keshava Nagar,148,Resale,Kardhanur,28
Adi Keshava Nagar,200,Resale,Ghatkesar,20
Modi Emerald Heights,242,Resale,Koheda,36.3
Modi Emerald Heights,160,Resale,Dammaiguda,28.8
Modi Emerald Heights,220,Resale,Kompally,48.4
Modi Emerald Heights,256,Resale,Vattinagulapally,66.6
Silicon Meadows,167,Resale,Rampally,37
Silicon Meadows,200,New Property,Thumukunta,48
Project Roma Enclave,196,Resale,Badangpet,41
Project Roma Enclave,230,Resale,Mallapur-Balapur,46
Project Roma Enclave,200,New Property,Mokila,38
Project Roma Enclave,100,Resale,Almasguda,24
Project Roma Enclave,150,New Property,Huda Colony-Hayathnagar,36.8
Project Roma Enclave,689,Resale,Bachupally,60
Project Roma Enclave,400,Resale,Hayat Nagar,30
Project Roma Enclave,150,New Property,Bandlaguda Jagir,51
Tanavi Hills,170,Resale,Miyapur,61.2
BK Enclave,122,Resale,Miyapur,60
BK Enclave,206,Resale,Munganoor,38
BK Enclave,400,Resale,Medchal,24.8
BK Enclave,367,Resale,Sun City,36.7
BK Enclave,300,Resale,Nadargul,52.5
BK Enclave,130,Resale,Gajularamaram,50
BK Enclave,300,Resale,Pasumamula,39
Elite County,222,Resale,Bachupally,35.5
Elite County,110,Resale,Gajularamaram,46.2
Elite County,141,Resale,Nagaram,38.1
Elite County,150,New Property,Uppar Guda,45
Elite County,355,Resale,Nadargul,65
Elite County,200,Resale,Anjanadri Nagar,46
Elite County,200,Resale,Ramoji Film City Main Road,50
Elite County,120,Resale,Bongloor,31.2
Suvarna Green City,595,New Property,Moinabad,38.7
Mythri Enclave,183,New Property,Kothur,21.9
Fortune Butterfly City,500,New Property,Srisailam Highway,40
Aero Imperia,374,New Property,Tukkuguda,59.8
Song of the South,278,New Property,Maheshwaram,23.6
City Front,295,New Property,Mansanpally,29.5
Sri Sai Panchavati County,182,New Property,Koheda,23.6
Sathguru Jackpot,320,New Property,Adibatla,62.7
Evergreen City,530,New Property,Maheshwaram,63.6
Sterling Aster,300,New Property,Bhanoor,66
Space Vision Group Ambiance,500,New Property,Sadashivpet,32.5
Space Vision Group Ambiance,266,New Property,Ibrahimpatnam,53.9
Space Vision Group Ambiance,534,Resale,Proddutur,40
Space Vision Group Ambiance,167,Resale,Shamirpet,35
Space Vision Group Ambiance,189,Resale,Velimela,39.7
Space Vision Group Ambiance,168,New Property,Hayat Nagar,69
Space Vision Group Ambiance,290,Resale,Medchal,60.9
Space Vision Group Ambiance,150,Resale,Gandhamguda,45
Space Vision Group Ambiance,157,Resale,Kismatpur,53
Space Vision Group Ambiance,167,New Property,Tukkuguda,23.5
Space Vision Group Ambiance,200,New Property,Hayathnagar,45
Space Vision Group Ambiance,417,Resale,Jahangir Pir Dargah,28
Space Vision Group Ambiance,267,New Property,Maheshwaram,24
Space Vision Group Ambiance,200,New Property,Ghatkesar,26
Space Vision Group Ambiance,200,New Property,Shadnagar,22
Space Vision Group Ambiance,163,New Property,Chengincherla,44
Space Vision Group Ambiance,156,New Property,Badangpet,31.2
Space Vision Group Ambiance,201,New Property,Pedda Amberpet,46.2
Chakrapuri Colony,267,Resale,Aminpur,67
Chakrapuri Colony,180,New Property,Hayathnagar,38
Chakrapuri Colony,150,Resale,Ghatkesar,23.3
Chakrapuri Colony,356,New Property,Kothur,46.3
Chakrapuri Colony,200,Resale,Adibatla,26
Suvarna Green City,610,New Property,Moinabad,39.6
Aero Imperia,200,New Property,Tukkuguda,32
Song of the South,297,New Property,Maheshwaram,25.2
City Front,289,New Property,Mansanpally,28.9
Sri Sai Panchavati County,250,New Property,Koheda,32.5
Sathguru Jackpot,350,New Property,Adibatla,68.6
Evergreen City,200,New Property,Maheshwaram,24
Sterling Aster,175,New Property,Bhanoor,38.5
Sterling Aster,250,New Property,Gandi Maisamma,70
Suvarna Green City,314,New Property,Moinabad,20.4
Aero Imperia,240,New Property,Tukkuguda,38.4
Song of the South,236,New Property,Maheshwaram,20.1
City Front,280,New Property,Mansanpally,28
Sri Sai Panchavati County,167,New Property,Koheda,21.7
Sathguru Jackpot,163,New Property,Adibatla,31.9
Evergreen City,220,New Property,Maheshwaram,26.4
Sterling Aster,187,New Property,Bhanoor,41.1
Sterling Aster,250,New Property,Gandi Maisamma,70
Suvarna Green City,552,New Property,Moinabad,35.9
Aero Imperia,167,New Property,Tukkuguda,26.7
Song of the South,270,New Property,Maheshwaram,22.9
City Front,300,New Property,Mansanpally,30
Sri Sai Panchavati County,200,New Property,Koheda,26
Sathguru Jackpot,200,New Property,Adibatla,39.2
Evergreen City,170,New Property,Maheshwaram,20.4
Sterling Aster,220,New Property,Bhanoor,48.4
Sterling Aster,250,New Property,Gandi Maisamma,70
Suvarna Green City,381,New Property,Moinabad,24.8
Suvarna Green City,200,New Property,Shamshabad,32
City Front,302,New Property,Mansanpally,30.2
Sathguru Jackpot,300,New Property,Adibatla,58.8
Evergreen City,183,New Property,Maheshwaram,22
Sterling Aster,250,New Property,Bhanoor,55
Sterling Aster,250,New Property,Gandi Maisamma,70
Suvarna Green City,424,New Property,Moinabad,27.6
Suvarna Green City,200,New Property,Adibatla,32
City Front,266,New Property,Mansanpally,26.6
Sathguru Jackpot,220,New Property,Adibatla,43.1
Evergreen City,193,New Property,Maheshwaram,23.2
Sterling Aster,200,New Property,Bhanoor,44
Spring City,150,New Property,Sultanpur,27
Suvarna Green City,558,New Property,Moinabad,36.3
Suvarna Green City,200,New Property,Maheshwaram,32
City Front,220,New Property,Mansanpally,22
City Front,167,New Property,Adibatla,32.7
Sterling Aster,206,New Property,Bhanoor,45.3
Suvarna Green City,605,New Property,Moinabad,39.3
Aero Imperia,200,New Property,Tukkuguda,32
City Front,227,New Property,Mansanpally,22.7
Sri Sai Panchavati County,182,New Property,Koheda,23.7
Sri Sai Panchavati County,167,New Property,Medchal,38.4
Sri Sai Panchavati County,150,New Property,Shankarpalli-Rangareddi,23.5
Suvarna Green City,376,New Property,Moinabad,24.4
City Front,240,New Property,Mansanpally,24
City Front,150,New Property,Medchal,34.5
Spring City,150,New Property,Sultanpur,27
Suvarna Green City,413,New Property,Moinabad,26.8
City Front,257,New Property,Mansanpally,25.7
City Front,150,New Property,Medchal Road,34.5
City Front,275,New Property,Mansanpally,27.5
City Front,167,New Property,Medchal,38.4
City Front,309,New Property,Mansanpally,30.9
City Front,167,New Property,Medchal,38.4
City Front,320,New Property,Mansanpally,32
City Front,150,New Property,Medchal,34.5
City Front,325,New Property,Mansanpally,32.5
Fortune Butterfly City,500,Resale,Srisailam Highway,50
